lonXStart, latYStart, TimeStart, lonXEnd, latYEnd, TimeEnd, MMSI
-174.435387,51.671132,410341535,-174.116,51.613612,410345665,477830000
-174.116,51.613612,410345665,-126.432908,48.508083,411004578,477830000
-126.356337,48.493863,411005877,-126.23908,48.492018,411008257,477830000
-176.666467,52.89257,410343964,-176.492887,52.892847,410346713,212008205
-176.458255,52.892953,410347262,-173.759215,52.947543,410384675,212008205
-173.57861,52.95075,410387095,-169.562202,53.661788,410439734,212008205
-169.562202,53.661788,410439734,-168.614077,53.910785,410452683,212008205
-165.24473,54.339193,410496943,-161.941375,53.927102,410580944,212008205
-161.84662,53.932903,410583063,-161.557092,53.944917,410589264,212008205
-161.536313,53.945108,410589684,-126.865615,48.981163,411112163,212008205
-126.795385,48.95881,411113543,-126.674437,48.91881,411115954,212008205
-125.777707,47.493773,412580353,-126.461078,46.228513,412608683,212008205
-126.47283,46.205818,412609143,-126.76268,45.660942,412620713,212008205
-126.76268,45.660942,412620713,-125.48825,33.935035,412870573,212008205
-125.48825,33.935035,412870573,-125.253572,33.58424,412879248,212008205
-175.138673,52.760362,410398882,-174.408227,52.727633,410404712,636081210
-173.244165,52.657142,410414082,-172.89398,52.623387,410416899,636081210
-172.618948,52.570083,410419183,-170.088225,52.065387,410441563,636081210
-170.088225,52.065387,410441563,-126.567635,48.534878,410852992,636081210
-126.49826,48.528752,410853569,-126.23143,48.508975,410855763,636081210
-125.075718,47.262112,410986793,-124.973425,47.099073,410989332,636081210
-125.145953,44.205522,411313771,-125.17152,44.011868,411316223,636081210
-125.134597,40.467778,411361192,-125.06648,40.196767,411364748,636081210
-125.057125,40.164923,411365173,-125.015172,40.008698,411367265,636081210
-124.902437,39.822633,411369962,-124.842082,39.690805,411371796,636081210
-122.560057,36.156873,411548359,-122.481107,35.992608,411550590,636081210
-122.254993,35.64709,411555566,-122.115748,35.428558,411558702,636081210
-122.094923,35.395875,411559161,-121.982398,35.225558,411561592,636081210
-119.409848,32.510767,411609498,-119.043463,32.33101,411615320,636081210
-118.211988,31.444877,411716297,-118.780082,30.97256,411725100,636081210
-125.743282,29.11041,411803998,-125.946532,29.052287,411806345,636081210
-129.165378,28.180507,411843474,-129.470305,28.097187,411847085,636081210
-129.811952,28.003917,411851191,-130.071015,27.9328,411854262,636081210
-130.081238,27.9301,411854381,-130.241812,27.885783,411856260,636081210
-131.968643,27.391917,411877218,-135.613192,25.571872,411925823,636081210
-135.613192,25.571872,411925823,-160.549153,16.895545,412266696,636081210
-160.549153,16.895545,412266696,-160.692128,16.976047,412268831,636081210
-160.692128,16.976047,412268831,-162.25941,17.844653,412292010,636081210
-176.818292,53.334162,410450575,-168.393045,54.223547,410552954,257000547
-165.435095,54.352875,410588258,-126.589452,48.527912,411019863,257000547
-122.90591,47.053055,411296320,-122.905895,47.053055,411298122,257000547
-122.905912,47.053083,411362383,-122.90591,47.053088,411364363,257000547
-174.432667,51.432167,410528759,-127.324383,48.471967,411068243,538630200
-127.304267,48.471317,411068473,-127.073783,48.4728,411071093,538630200
-126.8619,48.4692,411073473,-126.63715,48.467133,411076009,538630200
-126.372283,47.358167,411949266,-126.479583,47.258183,411951355,538630200
-126.490667,47.248167,411951565,-126.588067,47.159,411953436,538630200
-129.407317,44.385267,412015025,-133.624617,39.965717,412115063,538630200
-133.707733,39.87205,412117072,-134.200867,39.338417,412128745,538630200
-134.214783,39.3229,412129085,-134.294067,39.233083,412131026,538630200
-134.388533,39.126967,412133325,-134.5163,38.97815,412136499,538630200
-134.614867,38.87285,412138768,-134.73305,38.750283,412141408,538630200
-134.863433,38.606217,412144447,-134.9859,38.469,412147338,538630200
-134.9859,38.469,412147338,-135.160933,38.278833,412151404,538630200
-135.160933,38.278833,412151404,-135.276483,38.152717,412154115,538630200
-136.956,36.2635,412196304,-137.101333,36.097,412200134,538630200
-174.216533,52.63515,410573311,-174.018867,52.659417,410575469,372040900
-173.199467,52.667583,410584370,-172.61535,52.666083,410589880,372040900
-172.55045,52.664633,410590541,-172.35535,52.60105,410593011,372040900
-172.35535,52.60105,410593011,-169.109783,52.360967,410635699,372040900
-169.082083,52.36085,410636038,-168.881283,52.3669,410638460,372040900
-168.881283,52.3669,410638460,-126.603383,48.599733,411144304,372040900
-126.442617,48.58555,411146414,-126.299167,48.57375,411148385,372040900
-129.4919,49.630967,411632314,-129.623183,49.742583,411634616,372040900
-130.938917,50.784883,411656395,-131.053733,50.877783,411658286,372040900
-131.39335,51.138783,411663846,-131.520133,51.23625,411665954,372040900
-132.025417,51.627367,411674546,-132.556383,52.036117,411683235,372040900
-133.063883,52.422933,411691515,-133.651517,52.868533,411700766,372040900
-133.714033,52.9155,411701755,-136.776333,55.162433,411751156,372040900
-137.24625,55.4865,411758596,-137.8872,55.921633,411768266,372040900
-137.8872,55.921633,411768266,-147.159617,57.86035,411883737,372040900
-147.159617,57.86035,411883737,-147.2959,57.800767,411886197,372040900
-147.3311,57.785833,411886827,-147.5258,57.70005,411890258,372040900
-150.791117,56.47645,411952364,-150.935933,56.43775,411954956,372040900
-150.935933,56.43775,411954956,-151.231517,56.356433,411960335,372040900
-151.28125,56.340817,411961246,-151.510217,56.255967,411965516,372040900
-152.272733,55.91425,411979637,-152.472833,55.822667,411982927,372040900
-153.109633,55.548833,411993127,-153.4505,55.415717,411998358,372040900
-153.4505,55.415717,411998358,-153.568367,55.36825,412000227,372040900
-153.717,55.308,412002676,-161.6526,54.199267,412091036,372040900
-163.49345,54.207717,412111846,-164.086333,54.2609,412118776,372040900
-164.87865,54.340517,412128176,-165.090933,54.359483,412130726,372040900
-175.121205,51.490953,410564351,-174.970982,51.505,410566322,354070046
-174.84138,51.519835,410568060,-174.633702,51.538623,410570768,354070046
-174.633702,51.538623,410570768,-174.214623,51.580933,410576219,354070046
-174.185405,51.583987,410576590,-173.996417,51.603373,410579059,354070046
-173.996417,51.603373,410579059,-125.624027,46.580033,411208810,354070046
-126.505083,47.624167,412573670,-125.6265,32.412,412885877,548020027
-175.1059,51.486383,410619504,-174.6457,51.541567,410625563,538734900
-174.437883,51.56465,410628272,-174.276917,51.58545,410630531,538734900
-174.276917,51.58545,410630531,-125.618833,46.40385,411341790,538734900
-124.4334,46.2105,411409169,-124.421767,46.20045,411410969,538734900
-129.145267,46.92185,412441880,-129.289317,46.941533,412443998,538734900
-129.89895,47.027217,412452829,-130.066267,47.050433,412455088,538734900
-130.135067,47.05995,412456058,-130.265967,47.078833,412457979,538734900
-174.669872,51.602202,410640107,-174.43516,51.636218,410642877,353002000
-173.898752,51.697978,410649248,-173.67261,51.728018,410651889,353002000
-173.607227,51.736775,410652647,-172.843502,51.841645,410661220,353002000
-172.843502,51.841645,410661220,-168.907175,52.376855,410718361,353002000
-168.907175,52.376855,410718361,-168.69833,52.425683,410721251,353002000
-168.69833,52.425683,410721251,-168.517152,52.46036,410723690,353002000
-168.270497,52.463348,410727282,-126.862532,48.970187,411227451,353002000
-126.637337,48.904125,411230430,-126.474328,48.855775,411232601,353002000
-126.458675,48.915762,412100358,-126.672083,48.970405,412103159,353002000
-126.714508,48.981713,412103729,-126.89309,49.030195,412106108,353002000
-127.040465,49.070868,412108060,-127.239622,49.125848,412110649,353002000
-127.239622,49.125848,412110649,-127.574545,49.223048,412115017,353002000
-127.574545,49.223048,412115017,-174.827947,51.334555,412677041,353002000
-174.827947,51.334555,412677041,-175.13312,51.257733,412681352,353002000
-177.590383,53.26065,410619808,-177.00635,53.356083,410626128,373430000
-176.797333,53.387617,410628347,-168.5182,54.298467,410722859,373430000
-164.471683,54.30055,410771520,-164.3231,54.27885,410773961,373430000
-163.975183,54.2364,410779238,-163.659083,54.217717,410783718,373430000
-161.60935,54.073583,410810124,-127.111933,49.18675,411236495,373430000
-130.314133,50.770833,411970994,-130.43495,50.8286,411972944,373430000
-130.43495,50.8286,411972944,-131.566983,51.329433,411990903,373430000
-131.642467,51.367167,411992213,-132.278617,51.730017,412003591,373430000
-132.698067,51.963683,412010773,-149.643717,55.989483,412252790,373430000
-150.25325,55.963483,412259811,-150.4891,55.971283,412262441,373430000
-155.397217,55.371083,412316971,-161.62395,54.1062,412381986,373430000
-163.65075,54.21705,412403057,-164.0996,54.2572,412407787,373430000
-164.193517,54.26635,412408766,-164.486667,54.289483,412411767,373430000
-164.8195,54.324667,412414899,-165.1097,54.361317,412417622,373430000
-122.839678,49.222462,410363968,-122.894982,49.208733,410366538,316200263
-123.495933,49.280778,412487994,-123.815477,49.22524,412516715,316200263
-176.43627,52.991928,410675403,-175.866737,52.960892,410682373,636907162
-175.792912,52.962085,410683271,-175.591712,52.965353,410685732,636907162
-175.465438,52.966107,410687220,-173.900325,52.935862,410706213,636907162
-173.464385,52.934718,410712243,-173.031143,52.95192,410719022,636907162
-172.882368,52.95734,410721672,-168.342058,54.158453,410781844,636907162
-164.983555,54.3306,410818412,-164.672883,54.313512,410822244,636907162
-164.445852,54.30331,410824952,-164.160298,54.345007,410828400,636907162
-161.85353,54.46331,410854897,-161.438478,54.463802,410859740,636907162
-161.238557,54.463542,410862053,-128.463143,47.874393,411333222,636907162
-128.06461,47.998902,411338721,-127.282008,48.265038,411349691,636907162
-127.282008,48.265038,411349691,-127.144482,48.312785,411351691,636907162
-126.964777,48.37205,411354330,-126.74753,48.38434,411357091,636907162
-126.576017,48.394908,411359270,-126.391225,48.41947,411361690,636907162
-126.391225,48.41947,411361690,-126.244225,48.4417,411363629,636907162
-123.90351,49.17465,412616900,-123.903923,49.174533,412618881,636907162
-123.899643,49.173192,412668922,-123.900262,49.1725,412671082,636907162
-178.191438,52.229725,410890239,-177.460267,53.027137,411150501,366880289
-177.438547,53.03001,411150810,-177.073043,53.080737,411156041,366880289
-176.75847,53.123528,411160693,-168.321342,53.737792,411277060,366880289
-166.103043,53.735738,411651080,-166.210855,53.674417,411652921,366880289
-166.210855,53.674417,411652921,-166.38034,53.581398,411655802,366880289
-166.58264,53.470218,411659182,-166.880115,53.349482,411664162,366880289
-166.901795,53.3433,411664529,-167.213343,53.254018,411670003,366880289
-167.272167,53.237033,411671082,-167.496953,53.17145,411675669,366880289
-167.496953,53.17145,411675669,-168.08928,52.996425,411689662,366880289
-168.15589,52.976087,411691510,-168.261253,52.94442,411694432,366880289
-168.261253,52.94442,411694432,-168.328463,52.924215,411696332,366880289
-169.160285,52.685485,411717799,-173.983583,51.875282,411805831,366880289
-174.482712,51.82341,411812942,-174.637757,51.807025,411815091,366880289
-177.891567,51.444935,411860479,-178.273345,51.406403,411866061,366880289
-174.818503,51.514232,410985476,-174.634225,51.537777,410987455,636755510
-174.586603,51.542755,410987944,-173.681813,51.634368,410997324,636755510
-173.681813,51.634368,410997324,-136.017643,48.429555,411382112,636755510
-136.017643,48.429555,411382112,-134.994632,48.16956,411393569,636755510
-134.661867,48.066452,411397565,-134.51452,48.019498,411399365,636755510
-134.153117,47.906563,411403734,-133.985863,47.85314,411405755,636755510
-133.752233,47.781818,411408542,-132.904847,47.521138,411418833,636755510
-132.745853,47.4722,411420772,-127.556052,46.233348,411479392,636755510
-124.077367,39.058878,412657195,-124.021785,38.91421,412659717,636755510
-122.16386,35.805895,412715016,-122.086023,35.69946,412717007,636755510
-121.863148,35.407263,412722392,-121.734402,35.231805,412725572,636755510
-174.883833,51.523667,411013527,-174.63979,51.539113,411016034,257000178
-174.594235,51.542452,411016498,-133.62007,54.3516,411439516,257000178
-133.585338,54.348565,411439880,-131.409773,54.330973,411461369,257000178
-131.409773,54.330973,411461369,-130.856003,54.310233,411470672,257000178
-130.856003,54.310233,411470672,-130.353167,54.256418,411476891,257000178
-130.359573,54.267408,411477238,-130.362333,54.2885,411479159,257000178
-130.852833,54.307,411601697,-129.666667,50.788,411665161,257000178
-128.081522,47.076205,411730404,-127.998208,46.872785,411733844,257000178
-127.995987,46.86743,411733935,-127.888167,46.579,411738818,257000178
-127.888167,46.579,411738818,-127.158002,44.788093,411768570,257000178
-125.529,40.561,411839945,-125.460583,40.3763,411843299,257000178
-119.503613,31.482765,412214368,-119.356667,31.328167,412217588,257000178
-118.088232,29.900413,412246754,-117.964997,29.756673,412249708,257000178
-117.262847,28.958893,412265831,-117.095433,28.750892,412270097,257000178
-174.582458,51.543787,411022695,-128.046332,49.228898,411420680,548006801
-128.046332,49.228898,411420680,-127.854168,49.1745,411422684,548006801
-127.460807,49.061977,411426834,-127.271877,49.013903,411428730,548006801
-127.136378,48.975607,411430110,-126.864365,48.898987,411432852,548006801
-129.310642,49.786865,411986955,-129.506927,49.846192,411989305,548006801
-129.764662,49.92911,411992425,-130.169523,50.041808,411997174,548006801
-130.311497,50.07576,411998845,-130.859583,50.204402,412005354,548006801
-131.30764,50.308563,412010874,-161.652155,54.14671,412297356,548006801
-163.522038,54.206317,412314276,-164.025647,54.254842,412318886,548006801
-164.185627,54.269253,412320326,-164.478615,54.299073,412322865,548006801
-164.600278,54.310712,412323908,-164.822767,54.332343,412325749,548006801
-175.232993,52.647865,411131475,-175.058632,52.656715,411133364,538249800
-175.058632,52.656715,411133364,-174.629172,52.669645,411138014,538249800
-173.576848,52.811315,411149584,-173.133762,52.88094,411154496,538249800
-173.01796,52.898343,411155825,-169.286718,53.506783,411197428,538249800
-169.200508,53.528162,411198408,-168.762288,53.632522,411203408,538249800
-168.762288,53.632522,411203408,-168.264022,53.749683,411208857,538249800
-164.500273,54.282767,411248376,-163.503157,54.2018,411258802,538249800
-162.286187,54.09873,411272994,-161.95941,54.03587,411276935,538249800
-161.781032,54.004457,411278974,-142.453573,51.022407,411536439,538249800
-142.35241,51.003252,411537889,-139.294447,50.630907,411582340,538249800
-139.294447,50.630907,411582340,-134.729262,49.76663,411642199,538249800
-134.538505,49.735743,411644849,-134.249977,49.686557,411648840,538249800
-134.249977,49.686557,411648840,-134.069865,49.658075,411651259,538249800
-133.378802,49.542362,411660209,-133.110605,49.497345,411663508,538249800
-132.821873,49.449203,411667169,-132.647012,49.420443,411669388,538249800
-128.646412,48.759763,411722417,-128.489405,48.731052,411724409,538249800
